POLICY_CLAIM_NUMBER	POLICY_EFF_DT	INSURANCE_TYPE	CLAIM_STATUS	ANY_INJURY	POLICE_REPORT_AVAILABLE	INCIDENT_HOUR_OF_THE_DAY
PLC00008468	6/23/2015	Health	A	0	1	4
PLC00009594	4/21/2018	Property	A	1	0	0
PLC00007969	10/3/2019	Property	A	0	1	19
PLC00009292	11/29/2016	Health	A	0	0	12
PLC00000204	12/26/2011	Travel	A	0	1	18
PLC00007244	12/28/2012	Life	A	0	1	0
PLC00002796	10/26/2012	Health	A	1	1	10
PLC00002925	12/30/2018	Motor	A	0	1	10
PLC00006886	6/27/2019	Motor	A	0	1	22
PLC00007657	12/19/2015	Travel	A	0	0	4
PLC00003007	3/30/2019	Life	A	1	1	23
PLC00002139	7/22/2016	Motor	D	1	1	3
PLC00007839	6/12/2019	Health	A	0	1	22
PLC00002521	1/29/2020	Life	A	1	0	0
PLC00007011	6/8/2015	Mobile	A	1	1	11
PLC00008152	1/25/2011	Motor	A	0	1	22
PLC00000118	4/17/2014	Property	A	0	1	2
PLC00000165	3/25/2015	Property	A	0	1	14
PLC00000619	11/3/2017	Motor	A	0	1	20
PLC00001411	11/8/2013	Life	A	1	1	1
PLC00003338	7/10/2015	Health	A	1	0	3
PLC00004242	1/19/2017	Mobile	A	0	1	18
PLC00007915	12/29/2011	Life	A	1	1	7
PLC00000786	6/20/2015	Property	A	0	0	22
PLC00009960	10/29/2011	Property	A	1	0	10
PLC00007391	3/18/2018	Property	A	1	1	13
PLC00009230	12/30/2011	Health	A	1	1	11
PLC00003274	6/23/2014	Health	A	0	0	0
PLC00007448	8/29/2016	Property	A	0	1	7
PLC00005607	6/29/2019	Mobile	A	0	1	19
PLC00009902	7/3/2010	Health	A	1	0	3
PLC00008459	1/26/2016	Property	A	1	1	22
PLC00009575	3/28/2013	Life	A	1	1	0
PLC00002330	5/24/2012	Mobile	A	1	1	17
PLC00005354	8/13/2014	Life	A	1	1	13
PLC00003499	2/14/2013	Life	A	1	0	7
PLC00008260	6/22/2017	Mobile	A	1	1	8
PLC00009265	2/28/2018	Life	A	0	1	14
PLC00005626	12/29/2011	Mobile	A	0	0	6
PLC00008977	7/27/2010	Mobile	A	0	1	0
PLC00000212	7/17/2014	Life	A	0	0	2
PLC00006704	7/6/2015	Motor	A	0	1	14
PLC00003271	9/5/2010	Property	A	1	1	0
PLC00005560	7/27/2018	Property	A	1	1	18
PLC00006003	11/28/2012	Life	A	1	1	16
PLC00009442	10/1/2012	Travel	A	1	1	5
PLC00002112	12/9/2010	Motor	D	0	0	0
PLC00006887	7/28/2017	Property	D	0	1	2
PLC00003012	9/9/2018	Mobile	A	1	1	22
PLC00003093	5/7/2016	Motor	A	0	0	13
PLC00003805	3/15/2015	Mobile	A	1	1	22
PLC00001551	4/7/2017	Mobile	A	0	1	22
PLC00009146	5/27/2013	Motor	A	0	0	21
PLC00008827	9/5/2017	Property	A	1	1	5
