fact_table_natural_key,accm_txn_complete_time
TXN00000001,2022-05-08 06:47:02
TXN00000002,2022-05-08 06:08:05
TXN00000003,2022-05-08 10:55:06
TXN00000004,2022-05-08 18:26:03
TXN00000005,2022-05-08 12:09:43
TXN00000006,2022-05-08 14:03:25
TXN00000007,2022-05-08 20:46:24
TXN00000008,2022-05-08 12:50:37
TXN00000009,2022-05-08 22:06:53
TXN00000010,2022-05-08 14:42:00
TXN00000011,2022-05-08 05:46:08
TXN00000012,2022-05-08 10:03:27
TXN00000013,2022-05-08 13:42:05
TXN00000014,2022-05-08 13:30:52
TXN00000015,2022-05-08 09:07:31
TXN00000016,2022-05-08 23:06:45
TXN00000017,2022-05-08 22:28:10
TXN00000018,2022-05-08 18:23:12
TXN00000019,2022-05-08 22:49:09
TXN00000020,2022-05-08 18:54:36
TXN00000021,2022-05-08 08:57:08
TXN00000022,2022-05-08 06:43:25
TXN00000023,2022-05-08 08:37:57
TXN00000024,2022-05-08 09:18:08
TXN00000025,2022-05-08 01:22:53
TXN00000026,2022-05-08 06:22:18
TXN00000027,2022-05-08 05:18:49
TXN00000028,2022-05-08 18:35:54
TXN00000029,2022-05-08 01:20:48
TXN00000030,2022-05-08 18:48:51
TXN00000031,2022-05-08 13:46:21
TXN00000032,2022-05-08 17:32:52
TXN00000033,2022-05-08 03:18:10
TXN00000034,2022-05-08 16:00:46
TXN00000035,2022-05-08 09:29:08
TXN00000036,2022-05-08 03:34:10
TXN00000037,2022-05-08 02:22:11
TXN00000038,2022-05-08 09:22:41
TXN00000039,2022-05-08 11:18:19
TXN00000040,2022-05-08 08:15:21
TXN00000041,2022-05-08 13:02:26
TXN00000042,2022-05-08 01:21:40
TXN00000043,2022-05-08 01:25:09
TXN00000044,2022-05-08 14:52:30
TXN00000045,2022-05-08 21:28:37
TXN00000046,2022-05-08 15:23:56
TXN00000047,2022-05-08 15:26:58
TXN00000048,2022-05-08 14:55:06
TXN00000049,2022-05-08 03:09:53
TXN00000050,2022-05-08 21:00:29
TXN00000051,2022-05-08 02:04:07
TXN00000052,2022-05-08 03:19:15
TXN00000053,2022-05-08 14:11:03
TXN00000054,2022-05-08 23:55:30
TXN00000055,2022-05-08 19:38:39
TXN00000056,2022-05-08 15:51:23
TXN00000057,2022-05-08 22:34:49
TXN00000058,2022-05-08 20:07:48
TXN00000059,2022-05-08 01:42:05
TXN00000060,2022-05-08 16:23:18
TXN00000061,2022-05-08 10:11:01
TXN00000062,2022-05-08 22:51:30
TXN00000063,2022-05-08 20:26:33
TXN00000064,2022-05-08 09:27:03
TXN00000065,2022-05-08 19:44:21
TXN00000066,2022-05-08 12:32:53
TXN00000067,2022-05-08 23:18:56
TXN00000068,2022-05-08 20:08:24
TXN00000069,2022-05-08 15:59:41
TXN00000070,2022-05-08 08:47:58
TXN00000071,2022-05-08 00:31:23
TXN00000072,2022-05-08 08:09:37
TXN00000073,2022-05-08 08:21:25
TXN00000074,2022-05-08 09:01:55
TXN00000075,2022-05-08 00:39:51
TXN00000076,2022-05-08 19:23:59
TXN00000077,2022-05-08 17:03:30
TXN00000078,2022-05-08 09:55:23
TXN00000079,2022-05-08 07:21:19
TXN00000080,2022-05-08 03:22:09
TXN00000081,2022-05-08 06:29:17
TXN00000082,2022-05-08 06:23:22
TXN00000083,2022-05-08 22:14:12
TXN00000084,2022-05-08 08:25:30
TXN00000085,2022-05-08 06:32:14
TXN00000086,2022-05-08 18:12:08
TXN00000087,2022-05-08 04:49:48
TXN00000088,2022-05-08 09:56:35
TXN00000089,2022-05-08 23:21:23
TXN00000090,2022-05-08 13:49:33
TXN00000091,2022-05-08 13:32:42
TXN00000092,2022-05-08 22:20:27
TXN00000093,2022-05-08 15:30:40
TXN00000094,2022-05-08 17:44:11
TXN00000095,2022-05-08 14:35:57
TXN00000096,2022-05-08 02:24:06
TXN00000097,2022-05-08 15:48:05
TXN00000098,2022-05-08 09:01:19
TXN00000099,2022-05-08 09:39:53
TXN00000100,2022-05-08 13:44:16
TXN00000101,2022-05-08 04:37:25
TXN00000102,2022-05-08 16:33:38
TXN00000103,2022-05-08 07:39:31
TXN00000104,2022-05-08 18:24:07
TXN00000105,2022-05-08 17:42:18
TXN00000106,2022-05-08 20:51:04
TXN00000107,2022-05-08 18:10:00
TXN00000108,2022-05-08 05:08:42
TXN00000109,2022-05-08 06:37:41
TXN00000110,2022-05-08 15:18:08
TXN00000111,2022-05-08 05:46:32
TXN00000112,2022-05-08 17:18:30
TXN00000113,2022-05-08 09:03:03
TXN00000114,2022-05-08 23:54:00
TXN00000115,2022-05-08 16:58:26
TXN00000116,2022-05-08 00:42:07
