TRANSACTION_ID,TXN_DATE_TIME,LOSS_DT,REPORT_DT,PREMIUM_AMOUNT,CLAIM_AMOUNT,TENURE,AGENT_ID,VENDOR_ID,CUSTOMER_ID
TXN00000001,6/1/2020 0:00,5/16/2020,5/21/2020,157.13,9000,89,AGENT00413,VNDR00556,A00003822
TXN00000002,6/1/2020 0:00,5/13/2020,5/18/2020,141.71,26000,80,AGENT00769,VNDR00592,A00008149
TXN00000003,6/1/2020 0:00,5/21/2020,5/26/2020,157.24,13000,68,AGENT00883,VNDR00031,A00003172
TXN00000004,6/1/2020 0:00,5/14/2020,5/19/2020,172.87,16000,16,AGENT00278,VNDR00075,A00007572
TXN00000005,6/1/2020 0:00,5/17/2020,5/22/2020,88.53,3000,16,AGENT00636,VNDR00472,A00008173
TXN00000006,6/1/2020 0:00,5/20/2020,5/25/2020,87.02,63000,38,AGENT00402,VNDR00197,A00003571
TXN00000007,6/1/2020 0:00,5/13/2020,5/18/2020,197.23,3000,20,AGENT00322,VNDR00150,A00007245
TXN00000008,6/1/2020 0:00,5/14/2020,5/19/2020,83.77,8000,97,AGENT00152,VNDR00326,A00004301
TXN00000009,6/1/2020 0:00,5/21/2020,5/26/2020,82.14,5000,118,AGENT00450,VNDR00437,A00004671
TXN00000010,6/1/2020 0:00,5/15/2020,5/20/2020,71.29,4000,119,AGENT00682,VNDR00197,A00002020
TXN00000011,6/1/2020 0:00,5/20/2020,5/25/2020,61.45,92000,14,AGENT01091,VNDR00163,A00007952
TXN00000012,6/1/2020 0:00,5/21/2020,5/26/2020,101.15,8000,39,AGENT00288,VNDR00197,A00006313
TXN00000013,6/1/2020 0:00,5/24/2020,5/27/2020,157.95,11000,118,AGENT00015,VNDR00191,A00003693
TXN00000014,6/1/2020 0:00,5/18/2020,5/23/2020,64.16,51000,118,AGENT01094,VNDR00197,A00007988
TXN00000015,6/1/2020 0:00,5/20/2020,5/25/2020,6.76,700,90,AGENT00324,VNDR00135,A00005617
TXN00000016,6/1/2020 0:00,5/12/2020,5/17/2020,128.73,9000,48,AGENT00608,VNDR00051,A00008033
TXN00000017,6/1/2020 0:00,5/13/2020,5/18/2020,114.42,39000,19,AGENT00911,VNDR00238,A00007184
TXN00000018,6/1/2020 0:00,5/22/2020,5/25/2020,157.18,40000,106,AGENT00079,VNDR00197,A00007426
TXN00000019,6/1/2020 0:00,5/27/2020,5/28/2020,116.55,8000,69,AGENT00994,VNDR00107,A00009265
TXN00000020,6/1/2020 0:00,5/17/2020,5/22/2020,77.17,68000,119,AGENT00490,VNDR00197,A00005314
TXN00000021,6/1/2020 0:00,5/30/2020,5/30/2020,155.23,17000,51,AGENT00446,VNDR00215,A00004720
TXN00000022,6/1/2020 0:00,5/26/2020,5/28/2020,9.15,300,101,AGENT00379,VNDR00197,A00004728
TXN00000023,6/1/2020 0:00,5/28/2020,5/29/2020,81.45,80000,49,AGENT00302,VNDR00375,A00001482
TXN00000024,6/1/2020 0:00,5/22/2020,5/25/2020,153.04,10000,81,AGENT00266,VNDR00585,A00001719
TXN00000025,6/1/2020 0:00,5/17/2020,5/22/2020,120.31,30000,60,AGENT00947,VNDR00197,A00000138
TXN00000026,6/1/2020 0:00,5/27/2020,5/28/2020,87.09,37000,95,AGENT00070,VNDR00051,A00001186
TXN00000027,6/1/2020 0:00,5/14/2020,5/19/2020,130.78,17000,28,AGENT00739,VNDR00197,A00006946
TXN00000028,6/1/2020 0:00,5/28/2020,5/29/2020,119.4,19000,85,AGENT01169,VNDR00310,A00004112
TXN00000029,6/1/2020 0:00,5/20/2020,5/25/2020,159.2,37000,32,AGENT00431,VNDR00339,A00004865
TXN00000030,6/1/2020 0:00,5/18/2020,5/23/2020,8.32,600,49,AGENT00546,VNDR00233,A00002422
TXN00000031,6/1/2020 0:00,5/14/2020,5/19/2020,147.7,13000,117,AGENT00531,VNDR00249,A00003691
TXN00000032,6/2/2020 0:00,5/20/2020,5/25/2020,124.45,15000,106,AGENT01134,VNDR00197,A00006915
TXN00000033,6/2/2020 0:00,5/26/2020,5/28/2020,51.18,27000,28,AGENT00552,VNDR00197,A00009130
TXN00000034,6/2/2020 0:00,5/25/2020,5/28/2020,8.38,100,100,AGENT00623,VNDR00045,A00001581
TXN00000035,6/2/2020 0:00,5/17/2020,5/22/2020,95.16,74000,51,AGENT00313,VNDR00226,A00007890
TXN00000036,6/2/2020 0:00,5/13/2020,5/18/2020,66.73,69000,100,AGENT00886,VNDR00197,A00003536
TXN00000037,6/2/2020 0:00,5/17/2020,5/22/2020,8.27,300,104,AGENT00690,VNDR00197,A00008207
TXN00000038,6/2/2020 0:00,5/30/2020,5/30/2020,50.3,18000,35,AGENT00678,VNDR00197,A00003348
TXN00000039,6/2/2020 0:00,5/21/2020,5/26/2020,6.59,600,108,AGENT00132,VNDR00560,A00000014
TXN00000040,6/2/2020 0:00,5/18/2020,5/23/2020,11.04,600,108,AGENT00284,VNDR00197,A00006283
TXN00000041,6/2/2020 0:00,5/23/2020,5/26/2020,86.77,34000,118,AGENT00312,VNDR00018,A00003499
TXN00000042,6/2/2020 0:00,5/20/2020,5/25/2020,89.11,2000,66,AGENT00622,VNDR00560,A00008902
TXN00000043,6/2/2020 0:00,5/18/2020,5/23/2020,140.72,35000,93,AGENT00896,VNDR00086,A00002740
TXN00000044,6/2/2020 0:00,5/22/2020,5/27/2020,129.9,18000,55,AGENT00744,VNDR00197,A00009289
TXN00000045,6/2/2020 0:00,5/24/2020,5/27/2020,84.99,66000,51,AGENT00617,VNDR00197,A00007672
TXN00000046,6/2/2020 0:00,5/28/2020,5/29/2020,90.04,5000,105,AGENT00969,VNDR00071,A00000956
TXN00000047,6/2/2020 0:00,5/26/2020,5/28/2020,117.72,7000,39,AGENT00642,VNDR00197,A00000134
TXN00000048,6/2/2020 0:00,5/31/2020,5/31/2020,109.74,15000,42,AGENT00845,VNDR00009,A00006528
TXN00000049,6/2/2020 0:00,5/29/2020,5/30/2020,9.05,300,115,AGENT00580,VNDR00197,A00008607
TXN00000050,6/2/2020 0:00,5/23/2020,5/26/2020,116.99,10000,88,AGENT00697,VNDR00488,A00004589
TXN00000051,6/2/2020 0:00,5/13/2020,5/18/2020,11.04,400,20,AGENT00780,VNDR00197,A00002074
TXN00000052,6/2/2020 0:00,5/15/2020,5/20/2020,6.63,600,59,AGENT01183,VNDR00277,A00000481
TXN00000053,6/2/2020 0:00,5/29/2020,5/30/2020,82.82,9000,34,AGENT00293,VNDR00025,A00009041
TXN00000054,6/2/2020 0:00,5/27/2020,5/29/2020,104.05,16000,106,AGENT01049,VNDR00448,A00000859
TXN00000055,6/2/2020 0:00,5/20/2020,5/25/2020,137.02,19000,49,AGENT00046,VNDR00445,A00000583
TXN00000056,6/2/2020 0:00,5/16/2020,5/21/2020,75.99,3000,92,AGENT00224,VNDR00498,A00004719
TXN00000057,6/2/2020 0:00,5/19/2020,5/24/2020,92.71,2000,102,AGENT00410,VNDR00358,A00002089
TXN00000058,6/2/2020 0:00,5/29/2020,5/30/2020,111.33,30000,15,AGENT00515,VNDR00164,A00004245
TXN00000059,6/2/2020 0:00,5/21/2020,5/26/2020,8.51,300,16,AGENT00824,VNDR00083,A00009116
TXN00000060,6/2/2020 0:00,5/19/2020,5/24/2020,97.08,2000,104,AGENT00288,VNDR00197,A00003178
TXN00000061,6/2/2020 0:00,5/19/2020,5/24/2020,155.05,16000,12,AGENT00308,VNDR00457,A00005466
TXN00000062,6/2/2020 0:00,5/21/2020,5/26/2020,124.97,35000,14,AGENT01028,VNDR00383,A00007369
TXN00000063,6/2/2020 0:00,5/24/2020,5/27/2020,151.81,15000,69,AGENT00111,VNDR00010,A00002702
TXN00000064,6/2/2020 0:00,6/1/2020,6/1/2020,121.54,31000,108,AGENT00697,VNDR00269,A00006128
TXN00000065,6/2/2020 0:00,5/31/2020,5/31/2020,77.47,3000,16,AGENT00018,VNDR00314,A00001291
TXN00000066,6/2/2020 0:00,5/26/2020,5/28/2020,67.55,96000,13,AGENT00612,VNDR00197,A00000261
TXN00000067,6/2/2020 0:00,5/15/2020,5/20/2020,98.49,2000,96,AGENT00141,VNDR00383,A00008288
TXN00000068,6/3/2020 0:00,6/2/2020,6/2/2020,11.21,400,54,AGENT00572,VNDR00197,A00009904
TXN00000069,6/3/2020 0:00,5/28/2020,5/30/2020,156.2,3000,82,AGENT00565,VNDR00239,A00007027
TXN00000070,6/3/2020 0:00,5/23/2020,5/28/2020,7.23,100,16,AGENT00603,VNDR00197,A00003818
TXN00000071,6/3/2020 0:00,5/24/2020,5/27/2020,11.63,400,51,AGENT01107,VNDR00033,A00005168
TXN00000072,6/3/2020 0:00,5/30/2020,5/31/2020,74.36,5000,40,AGENT00615,VNDR00407,A00007705
TXN00000073,6/3/2020 0:00,5/21/2020,5/26/2020,76.97,99000,108,AGENT00309,VNDR00197,A00000877
TXN00000074,6/3/2020 0:00,6/1/2020,6/1/2020,6.15,300,81,AGENT00315,VNDR00056,A00006847
TXN00000075,6/3/2020 0:00,5/14/2020,5/19/2020,78.34,52000,55,AGENT00561,VNDR00197,A00005205
TXN00000076,6/3/2020 0:00,5/17/2020,5/22/2020,67.88,59000,34,AGENT00935,VNDR00521,A00009078
TXN00000077,6/3/2020 0:00,5/14/2020,5/19/2020,68.72,60000,85,AGENT00210,VNDR00488,A00000804
TXN00000078,6/3/2020 0:00,5/27/2020,5/29/2020,86.31,39000,54,AGENT00283,VNDR00197,A00004234
TXN00000079,6/3/2020 0:00,5/22/2020,5/27/2020,100.14,7000,36,AGENT00094,VNDR00197,A00002003
TXN00000080,6/3/2020 0:00,6/2/2020,6/2/2020,81.79,4000,43,AGENT00680,VNDR00197,A00000193
TXN00000081,6/3/2020 0:00,5/24/2020,5/27/2020,88.05,79000,42,AGENT00319,VNDR00197,A00009864
TXN00000082,6/3/2020 0:00,5/18/2020,5/23/2020,89.36,2000,29,AGENT00630,VNDR00287,A00003565
TXN00000083,6/3/2020 0:00,5/31/2020,5/31/2020,95.04,14000,39,AGENT00559,VNDR00466,A00006009
TXN00000084,6/3/2020 0:00,5/30/2020,5/31/2020,11.57,100,107,AGENT00771,VNDR00197,A00000670
TXN00000085,6/3/2020 0:00,5/14/2020,5/19/2020,109.33,6000,69,AGENT00304,VNDR00077,A00002691
TXN00000086,6/3/2020 0:00,5/28/2020,5/30/2020,126.63,1000,35,AGENT00167,VNDR00541,A00007463
TXN00000087,6/3/2020 0:00,5/30/2020,5/31/2020,77.65,78000,75,AGENT00792,VNDR00588,A00007262
TXN00000088,6/3/2020 0:00,5/21/2020,5/26/2020,82,10000,21,AGENT00001,VNDR00394,A00009910
TXN00000089,6/3/2020 0:00,5/31/2020,5/31/2020,102.63,9000,96,AGENT00955,VNDR00197,A00005802
TXN00000090,6/3/2020 0:00,5/27/2020,5/29/2020,199.63,16000,47,AGENT00428,VNDR00197,A00006267
TXN00000091,6/4/2020 0:00,5/20/2020,5/25/2020,62.02,1000,85,AGENT01136,VNDR00086,A00002978
TXN00000092,6/4/2020 0:00,5/15/2020,5/20/2020,153.52,19000,108,AGENT00573,VNDR00532,A00009572
TXN00000093,6/4/2020 0:00,5/23/2020,5/28/2020,116.27,7000,119,AGENT00474,VNDR00251,A00007477
TXN00000094,6/4/2020 0:00,5/30/2020,5/31/2020,72.52,1000,94,AGENT00908,VNDR00197,A00009513
TXN00000095,6/4/2020 0:00,5/31/2020,6/1/2020,83.23,95000,71,AGENT00254,VNDR00508,A00009706
TXN00000096,6/4/2020 0:00,5/26/2020,5/29/2020,116.8,9000,64,AGENT00482,VNDR00197,A00006240
TXN00000097,6/4/2020 0:00,5/31/2020,6/1/2020,82.05,15000,75,AGENT00397,VNDR00197,A00000327
TXN00000098,6/4/2020 0:00,5/25/2020,5/28/2020,75.6,41000,80,AGENT00786,VNDR00197,A00000762
TXN00000099,6/4/2020 0:00,5/26/2020,5/29/2020,9.14,300,44,AGENT00943,VNDR00597,A00008559
TXN00000100,6/4/2020 0:00,5/30/2020,5/31/2020,11.34,200,77,AGENT00011,VNDR00197,A00007283
TXN00000101,6/4/2020 0:00,5/16/2020,5/21/2020,89.76,31000,42,AGENT00007,VNDR00057,A00007243
TXN00000102,6/4/2020 0:00,5/15/2020,5/20/2020,136.47,1000,114,AGENT00691,VNDR00197,A00007330
TXN00000103,6/4/2020 0:00,5/16/2020,5/21/2020,127.87,7000,72,AGENT00198,VNDR00344,A00009946
TXN00000104,6/4/2020 0:00,6/2/2020,6/2/2020,60.87,3000,64,AGENT00869,VNDR00197,A00005849
TXN00000105,6/4/2020 0:00,5/21/2020,5/26/2020,92.65,19000,117,AGENT01177,VNDR00197,A00008151
TXN00000106,6/4/2020 0:00,6/1/2020,6/1/2020,96.95,50000,19,AGENT01119,VNDR00197,A00004744
TXN00000107,6/4/2020 0:00,5/25/2020,5/28/2020,69.59,84000,94,AGENT00603,VNDR00474,A00007865
TXN00000108,6/4/2020 0:00,5/30/2020,5/31/2020,94.33,20000,85,AGENT00265,VNDR00360,A00007480
TXN00000109,6/4/2020 0:00,5/19/2020,5/24/2020,71.65,78000,42,AGENT01042,VNDR00046,A00001988
